Nome;Documento;Idade;Curso;Modalidade
Tiago Amaral;542.385.752-X;17;FL;C2
Carlos Jose Rocha Magalhaes Geraldo Marchetti;828.540.396;19;NN;A2
Daniela Cabral;478.366.971;16;NN;C2
Jose Roberto Marchetti Fujimori Marini Souza;954.359.482-B;15;MC;C2
Eulalia Camara Colombo Rocha Cascudo;69.228.488-B;20;EQ;B1
Severino Camillo;344.883.494;15;AC;C2
Alberto Zeppelin Santos;376.303.904;15;BE;B2
Edvaldo Macedo;637.718.288;15;AR;B2
Gladys Pedrosa Amaral da Mata;368.304.621-A;17;HS;A2
Cristina Auerbach;333.931.618-C;16;MA;A1
Ernesto Cunhado;96.981.954-Y;20;EE;A2
Rafaela Pinto;645.884.979-C;17;BE;C1
Angela Silva Gatti Matsui Modenesi;93.212.302-A;16;FB;B1
Patrick Xavier Matsumoto Carvalhaes;205.128.414-X;17;AC;C2
Mateus Cascudo Mantovani Lotufo Mussel;962.984.280-Y;17;MA;B1
Ernesto Felix Bertoncini;654.851.467-Z;15;EE;C1
Agnes Corsini Fujimori;19.320.617-Y;17;BE;B2
Josefina Burrel;157.978.981;19;BE;B2
Vitorio Figueiredo Corsini;960.102.184-X;20;EE;C1
Jose Luiz Vicentini Nakamura;802.808.965-C;17;FL;C1
Daniela Cascudo de Abreu;874.216.125-X;19;NH;A2
Silverio Rupini;603.810.337-C;18;FB;C2
Maria Leticia Nakamura Delmiro Pereira Palma;503.995.131-Y;20;EA;A1
Vera Lucia Cunhado Figueiredo;914.247.226;20;NL;C1
Eulalia Bertoni;81.952.468;18;EM;B2
Candido Boldrini Acceturi Juliani;29.445.464-Y;19;EE;C1
Jose Renato Teixeira Tagliari;847.115.714;17;NA;B2
Tiago Levi Mendonca di Giorgio;182.515.126-C;18;EE;C2
Marcio da Mata;229.553.200-Z;18;FB;B1
Pedro Bertoni Agostinho;816.362.984;17;EM;C2
Leandro Lacerda;513.295.562;18;FL;A2
Marcela Penna Marcondes Mantovani Acceturi;774.648.110-A;20;EM;B1
Zildo Bretzel;33.383.422;18;EM;A2
Jose Osvaldo Russeldorf Mamede Saboia;465.379.110;15;HL;A2
Luiz Antonio Salazar;524.753.339;20;EM;A1
Josefina Silva Pinto;872.637.405-C;20;HL;B1
Davi Faria da Mata dos Santos;826.717.137-B;15;NH;A2
Edilene Brescianni;105.216.665-B;15;EQ;B1
Josefina Pereira Junqueira Fagundes;227.236.908;16;AR;C1
Ana Renata Romancini;301.311.532-Y;20;CC;A2
Alexandre Silva Pinto Segall;827.195.879;20;MB;C1
Jose Roberto Donato;618.291.893-X;19;EQ;B1
Zildo Mussel;11.259.823;20;MC;A2
Sergio Pereira;199.823.878-X;16;MC;B1
Elisio Ramos Lacerda Harrison;870.343.371-A;20;ML;B2
Luiz Ignacio Marchetti;742.549.417;17;EC;C2
George Takamoto Camillo Maciel Brancaleone;27.431.351;16;EQ;B2
Ricardo Juliani;962.480.892;19;BE;C1
Steve Pedrosa;691.821.997;18;HS;A1
Ariovaldo Mantovani Souza;195.650.438;20;NN;B1
Regina Borghetti Cunhado Palma Russeldorf;831.641.594;15;HS;A1
Cristiana Abravanel Pereira;275.863.935;19;EA;C1
Candido Rocha Tucunduva Mendonca;853.980.403;20;HL;A2
Geraldo Ferraz;551.922.222;18;MA;C1
Vanderson Bertoncini;129.756.828-B;15;HS;C1
Carlos Jose Bertoni Tartini Fleury;662.781.935;16;CC;C2
Jose Luiz Levi;943.214.439-Z;18;EQ;A1
Juliana Agostinho Matsui Vicentini Motoyama;956.635.755-Y;16;NA;A2
Candida Marchetti;471.106.969-B;20;ML;A2
Vinicius Mantovani Penna;586.984.739;19;MA;B2
Maria Leticia Vicentini;244.670.740;18;EA;A2
Maria Benta Figueiredo Camillo Favero;196.792.162-Z;16;NH;C2
Lorella Bertoni;230.312.637-A;17;BE;B1
Joao Luiz Soler;138.267.638;20;EC;A1
Pedro Luiz Auerbach Oliveira;398.449.203;17;FB;B2
Geraldo Matsumoto;127.125.416;16;SL;B1
Daniel Bertoni Antonioni Cabral;911.851.287-Y;16;NN;A1
Josefina Wander;915.496.948-X;20;MC;C2
Olivio Doval;937.604.653;18;AC;C1
Luiza Candido;189.528.342-A;19;NA;A1
Alexandre Marchetti Acceturi Ferracini Camara;618.660.341-C;16;NH;B1
Danilo Borghetti Kubota Rochester Juliani;962.373.860;17;EA;C2
Renata Salazar;285.127.747-C;18;EQ;C2
Flavia dos Santos Bergamo;887.178.645-X;19;SL;A1
Ernesto Marchetti;680.299.885;19;MC;C2
Guilherme Simionato;950.476.699-Z;19;NH;B1
Maria Leticia Tanaka da Mata Almeida Silva Pinto;245.272.232;16;EM;A1
Jose Geraldo;260.228.322;15;HL;A1
Maicol Camillo Almeida;189.818.940;15;NN;A1
Ivanildo Levi;941.946.460;17;EQ;B1
Felipe de Oliveira Segall Simionato Zeppelin;883.770.149-A;20;EM;C1
Danilo Giannini Camillo;325.142.942-C;19;EQ;A2
Thomaz Nogueira Portinari;689.936.853-C;15;MB;A1
Bruna Guedes Santana Yamamoto Antonioni;297.389.104-B;20;NL;B2
Gustavo Lotufo dos Santos Sampaio;590.774.150-X;17;AC;A1
Cristina Pereira;279.804.954-C;15;HS;A2
Rosiane Lacerda Silva Pinto Rocha;555.912.181-C;15;NA;C2
Luiz Ignacio Silverio Rochester;89.602.861-Y;19;SL;A2
Ricarda dos Afonsos;90.329.285-C;18;NN;A1
Maria Leticia Silva;755.476.979;15;MB;A1
Cristiana Marchetti Segall;326.472.964-C;15;NL;B2
Antonio Candido Martins Segall;620.635.815-A;20;NN;A1
Ernesto Mangini Mussel;276.304.310-X;20;MA;C1
Pedro Luiz Yakoub;560.525.834;19;EC;B2
Vera Lucia Cabral Silva Russeldorf;366.782.868-X;18;FL;B1
Luiz Augusto Kubota;501.443.863;18;MA;A1
Maura Cirne Cabral Felix di Giorgio;491.742.119;19;EM;B2
Jose Penna;677.588.252-Z;15;EE;A2
Edilene Madeira Tucunduva Giannini;122.225.786-C;19;CC;C1
Thiago Fagundes;891.511.143-B;20;EA;C1
Silverio Doval;82.206.662-B;19;EQ;B2
Maria Leticia Simionato Amaral Pinto;160.372.541;16;HL;C2
Luiz Ignacio Bretzel;775.722.814-C;17;BE;B2
Alexandre Macedo da Mata;69.242.777;16;HL;B2
Tomas Cadete;739.281.727-C;15;ML;C1
Ramon Pereira;763.577.136-B;19;NN;B2
Luiz Ferracini Cirne dos Santos Borghetti;581.652.918;20;BE;A2
Bruno Souza Berger;182.638.602-X;17;EQ;B2
Osvaldo Silva;655.479.576;16;HS;B2
Carlota Almeida Fonseca;979.656.604-Z;15;AC;C1
Maria Leticia Henriques;459.481.756-Y;15;BE;A2
Jorge Russeldorf Yakoub;841.746.295;17;EC;A2
Marcos Cabral Cadete Santos;876.293.911;16;MC;A1
Humberto Aquino;323.144.618;15;SL;B2
Vinicius Camillo Lessa;188.984.249;20;CC;A2
Maria Jose Passarelli Penha;735.971.138;20;EC;C2
Cristiana Berger;148.786.794-A;20;MA;C1
Andre Rupp;171.614.765;18;NL;B2
Rosiane Faria;106.116.199;18;BE;B1
Felipe Soler;201.400.143-B;16;NH;C1
Petra Penha Romano;493.161.282;20;EQ;A2
Nestor Mendonca;753.620.765-C;19;AR;B1
Geraldo Tagliari;211.596.257;20;HS;B2
Mateus Mangini;506.638.397-A;18;ML;C1
Giordano Goncalvez;414.721.117-Z;18;AR;A2
Mario Sergio Corracini;278.342.542-C;20;MC;A1
Bertha Marcondes de Andrade;620.494.466;17;NH;C2
Luiz Ignacio del Vecchio;812.661.447-A;17;EM;C2
Senor Ramos Motoyama;264.803.148;17;HL;B1
Danilo de Oliveira Prates Acceturi;619.998.592;19;AC;A1
Renata Lacerda;770.277.229-C;17;NL;A2
Fernando Takamoto Marchetti;481.252.667;16;EQ;A2
Volnei Parente Favero Maia;485.860.168;18;FB;A2
Daniel Brescianni Matsumoto Berger;436.937.171-C;20;AR;A2
Fabiola Harrison;652.360.609;20;MC;A1
Fabiana Candido dos Afonsos;76.614.845-Y;19;NA;A2
Rosiane Xavier Burrel;488.518.428;19;SL;B1
Bruno Cunhado Apolinario;102.929.509-Y;17;EC;A2
Johnny Girardi;157.695.479-B;17;NN;A1
Andreia Matsui;373.703.865;18;FL;B2
Senor Bretzel Faria;238.945.800-Y;19;AC;A1
Maria da Graca Tucunduva;197.576.291;17;EC;B1
Carlos Jose Apolinario;701.209.396-X;16;HS;C1
Marco Antonioni Tartini dos Santos Goldstein;461.175.710-X;15;CC;A2
Carlota Goncalves;618.613.819;15;AC;C2
Aldo Mamede;861.570.598;16;MA;B2
Edilene Macedo Guedes Corsini;969.291.918-Z;17;NH;A1
Juliana Saboia Goes;14.621.939-Y;17;NL;B2
Thomaz Donato;569.634.509;17;ML;C1
Albertina Maciel;889.547.534;15;EE;A1
Willian Prates Carvalhaes Palma Almeida;823.974.577-X;19;FB;B2
Candida Melo;627.465.381-B;20;HS;B1
Tomas dos Afonsos do Monte;83.469.624-A;15;BE;B2
Thiago Magalhaes;135.225.604;17;FB;C1
Davi Almeida;549.525.389;15;MB;C2
Jorge Ferraz Simoes Pinto;348.120.617-A;16;CC;A1
Joao Marcos Takamoto;779.693.407;16;CC;A1
Vitorio Colombo Marcondes;409.704.801-Y;16;EE;A1
Maura Almeida;290.361.401-X;16;BE;B2
Jose Luiz Starkey;607.424.616;16;NL;B1
Vitoria da Mata;458.188.373-C;16;MC;A1
Ariovaldo Tanaka;21.437.713-B;16;EC;A1
Edivaldo Goncalves;429.586.974-Z;15;HS;C1
Heraldo Saboia;760.994.490-Z;18;FL;B1
Rodrigo Boldrini;698.144.638-Y;15;EM;B2
Maria Luiza Boldrini Amaral Mendonca;254.752.766-Y;20;NA;A2
Severino Saboia;681.750.408;19;NN;C2
Josefina Romano;912.210.664-Y;17;NA;A2
Elisio Soler Mandell;309.703.193-A;18;NH;C2
Vera Lucia Bresciani Marini;980.756.286;20;NN;B2
Carla Marchetti;59.254.995-Y;20;HL;C2
Nestor Candido dos Afonsos;654.836.676;17;SL;B2
Josefina Silverio Goldstein Pinto;211.128.672-B;16;EA;C1
Marta Carvalhaes Faria;69.938.539-Y;19;AC;B2
Joao Luiz Magalhaes;997.807.782;16;FL;B2
Sinval Candido;587.568.974-Y;18;EQ;A2
Angelo Junqueira;531.867.129-X;16;NN;C1
Jose Osvaldo Passarelli dos Santos Brancaleone;134.998.725;20;AC;B2
Maria Luiza Henriques Rupini;998.126.742-Z;16;MA;A1
Joao Carlos Levi;864.188.159-Y;16;FL;C2
Evandro Vicentini Soler;956.221.405-C;19;NN;C2
Guilherme Modenesi;5.431.184-C;17;HL;B1
Thiago Conti Portinari;722.220.774-Y;18;BE;B2
Renata Lotufo Tanaka Xavier Mangini;367.198.516;15;NA;B1
Vitor Rupini;287.593.822-Y;15;FL;B1
Evair Carmignani;907.180.964-C;18;CC;C2
George Pinto Pini;340.752.476-B;16;EC;B2
Ana Renata Caetano;244.337.927;18;EE;C2
Cristian Lacerda;426.638.401;19;AC;A1
Marcela Oliveira Ramirez;447.195.473;15;EQ;B2
Maria Benta Giannini Marchetti;688.223.610-A;16;NH;B2
Marco Martins Romano;862.211.921;20;EM;B1
Sinval del Vecchio;820.359.967-Z;20;CC;A2
Livia Cabral Tagliari Portinari;450.349.346-Y;19;NA;A1
Maria Carolina Brancaleone;762.928.149-Z;15;NA;B2
Maria da Graca Prates Jurgensen Brancaleone Pini;30.672.672;15;NL;C1
Alda Candido;626.192.156;19;HL;A2
Geraldo Santini Matheny;605.914.710;18;MA;A1
Josefina Melo Bergamasco Liberatori;572.602.439-A;17;NA;A1
Vinicius Bartolini;636.389.758-Z;16;SL;C1
Renato Passarelli Magalhaes Pereira;679.376.827-Z;20;ML;A1
Luiz Ignacio Corracini Maciel;879.902.428;16;AR;B2
Fabiano Agostinho;185.788.395;20;CC;C1
Luiz Augusto Silva de Andrade Archangelo;676.206.767-A;20;EC;A2
Michel Amaral Berger Melo Camillo;826.645.355-B;20;NN;C1
Jose Luiz Simionato;160.139.802-Z;19;NL;C1
Eulalia Goldstein Kubota;480.586.651-Z;16;EC;C1
Jose Roberto Maia Maia;49.251.409;19;EA;B2
Alberto Santana;759.163.669;18;EM;A2
Joana Watanabe;565.537.563-Y;16;MA;A1
Jose Osvaldo Motoyama Pinto de Andrade Mantovani;967.406.980-A;16;NL;C2
Lavinia Yamamoto;121.582.536-Y;15;EC;C2
Ivanildo Romancini;115.225.665;19;EE;C2
Carlota Carvalhaes;798.104.591-Y;20;MA;B2
Vitorina Takamoto Xavier Fagundes Girardi;136.979.797;19;FB;C2
Edvaldo Zeppelin Romano;189.691.120;15;NL;B2
Joana Mendonca Rupp Mamede;409.934.496;18;MA;C2
Silverio Motoyama Correa Bartolini;20.890.442;16;CC;C2
Fabiano Almeida Oliveira;321.321.809-C;15;ML;B2
Willian Lotufo;317.222.311-C;18;NN;B1
Edvaldo Burrel Antonioni;892.983.553;16;AC;B1
Valdivino Madeira;929.744.485-C;18;MB;C1
Carla Goncalvez;618.359.639;17;AC;C2
Alice Maria Dias;692.238.737;16;SL;A2
Romao Tanaka Goncalves;261.461.441;17;FL;B2
Maria Benta Fleury;212.553.576-Z;20;EE;C2
Joao Carlos Fujimori Antonioni;424.813.969-B;15;CC;C2
Isabel Ferraz Maciel Parente Mendonca;24.456.416-C;18;HL;A2
Mateus Martins Goldstein Agostinho Leite;700.268.314;18;NL;A1
Jorge Starkey;539.105.973;15;FB;B1
Marcos Fleury Delmiro;234.197.145-Z;16;SL;B2
Candido Rocha Marcondes;346.465.387;20;MC;A1
Romao Santini Mendonca;443.131.202;17;NL;A1
Felipe Ramirez Levi Corracini;585.313.546;16;EQ;C1
Candida Mangini Tanaka;556.449.595;20;ML;A1
Heraldo Santos;780.316.110-A;19;MA;A2
Jose Maria Wander de Oliveira;624.754.973;17;AC;B2
Jose Roberto Lacerda;322.397.702;17;NA;C1
Bruna Agostinho;61.548.194;15;NN;B1
Luiz Antonio Cirne Simoes;976.935.163-C;16;NN;C1
Jose Pedro Mussel Andrade;691.332.271;20;HS;B1
Maria Benta Rupini Cunhado Felix;938.150.948-Z;20;EC;A2
Jose Renato Almeida;201.394.379-Z;17;NA;A2
Flavio Liberatori Henriques Goldstein Tachelli;166.562.132-B;16;CC;A1
Severino Tartini;16.405.798;18;HS;A2
Aline Penha Berger;734.264.973;19;NA;C2
Mateus Brescianni;965.274.116-X;18;MB;A2
Angelo Silva;297.697.161-B;16;FB;B1
Edilene Colombo Candido;714.396.339-X;19;AR;B2
Senor Agostinho Tagliari;732.254.109-B;18;EC;B2
Tiago Lessa Auerbach de Andrade Moreira;765.574.485-C;20;HL;C2
Angela Americano van der Graaf Liberatori;305.992.534-B;20;AR;C2
Carla Yakoub;509.791.588;16;SL;B1
Heraldo Giannini;963.203.830-Z;18;EE;A2
Joao Luiz Goncalvez Junqueira;643.543.942-C;19;HS;C2
Geraldo Tartini;966.894.863-Z;15;AC;C2
Mario Simionato;206.391.904-B;18;EE;C2
Jose Luiz Aquino;517.562.938;20;BE;B2
Gladys Juliani Marini;433.329.613-B;16;NH;C2
Olivia Silverio;678.186.500;17;HS;B1
Mayanna Bertoncini Wander;230.828.334;15;EE;A1
Vera Lucia dos Afonsos Cadete;472.591.664;15;NN;A1
Joao Carlos Boldrini;356.634.228-Y;16;EM;A1
Elisio Henriques;981.963.271;20;ML;C2
Maria Jose Segall;772.281.978-Y;15;BE;B1
Flavia Fagundes Mussel Cascudo;884.301.543-Z;16;MB;C1
Mayanna Leite;820.714.941-Y;17;FB;B2
Georgina Faria Teixeira;262.106.727;16;SL;B1
Aline da Mata;598.799.139;15;ML;A1
Vera Lucia Romancini Nakamura;115.209.553-Y;15;NL;A1
Rafaela Simon;945.226.383-Y;16;ML;C1
Andre di Giorgio Ferro;426.181.868;19;EC;C2
Marcos Brescianni Oliveira da Silva Cabral;141.749.466-Z;20;HL;B2
Senor Brescianni Lacerda Segall Lacerda;673.639.384-C;16;FL;B2
Osvaldo dos Reis Bergamasco;46.757.481;18;MB;C2
Vitoria Felix;556.779.219-A;19;MC;A2
Thiago Portinari;194.780.841-B;19;EE;C1
Samuel Girardi Marcondes Pedrosa;604.273.565;17;MA;C1
Heraldo Cabral de Oliveira;691.784.191-A;20;NA;C1
Jose Maria Rupp;483.648.796;17;SL;B2
Lavinia Pinto;951.507.570;20;MB;C1
Maria da Graca Pereira Abravanel Archangelo Bergamasco;573.167.915;16;BE;C1
Candida Ferro Levi Guedes;202.971.228-Z;20;MC;B2
Sinval Ferraz Figueiredo Rocha;806.344.362-Z;16;AR;C2
Marcio Caetano da Mata;426.745.753-A;17;MA;C2
Elisa Ramirez Rupp;994.383.869-B;16;EM;C1
Mateus Saboia Jurgensen;259.957.559-X;18;MC;B1
Samuel Aquino;795.388.501;19;ML;B2
Adoniram Wander;864.551.783;15;FL;C2
Aloisio Girardi Tanaka;106.223.416-B;15;EC;C1
Vanda Bertoncini;304.233.172-Y;15;AC;A2
Aurelio da Mata;749.553.749;20;NH;C2
Davi Doval Almeida Modenesi Tartini;221.231.375-A;17;AC;B1
Graca Matsumoto dos Afonsos;808.976.452-B;17;AC;B2
Renato Cadete Favero Bergamasco Junqueira;533.115.368-B;15;EM;B1
Graca Borghetti;58.951.118-A;20;EA;B2
Alda Correia Lacerda;697.740.794;18;BE;A2
Senor Acceturi;507.362.991;19;EQ;B2
Marcio Macedo Abravanel;721.628.704;18;FB;B1
Marcio Gatti de Andrade de Abreu Burrel;178.440.951-X;17;MC;B2
Augusto Lessa Bresciani Donato;263.189.353-Y;18;EA;B2
Fernando Auerbach;30.918.340-Z;20;FB;A1
Maicol Mendonca Macedo;233.769.299-Y;17;CC;B2
Luiz Magalhaes Bresciani Colombo Ferracini;552.480.929;16;FL;B2
Samuel Silva Pinto;357.450.578;20;EM;A1
Joao Pedro Maia;228.143.343;17;SL;B1
Alice Maria Liberatori;960.537.184-C;15;ML;B2
Adalberto Bergamo Figueiredo Junqueira Gatti;536.116.713-C;16;FL;A1
Davi Bressan;709.488.666-C;20;FB;B1
Renata Camillo;208.625.604-X;16;NN;C2
Francisco Carvalhaes;734.926.257;20;CC;C1
Maria Luiza Motoyama Burrel;781.961.832-Z;19;BE;A1
Antonio Candido Penna Amaral;487.801.307-B;18;EC;B2
Mayanna Liberatori;662.175.117-A;20;AC;B2
Joana Luiza Levi Melo;526.342.415;16;NH;B2
Vanda dos Santos Marchetti Mamede;163.395.820-B;20;AC;C1
Gustavo Zeppelin Cabral;389.115.868;18;EM;C2
Giordano Aquino;117.314.559-Y;18;EQ;C1
Ricarda Cabral Fujimori;975.461.246-B;17;ML;C2
Mateus Felix Silverio Goldstein Teixeira;574.617.244;19;FL;C2
Joana Bressan Carboni;176.549.294-B;18;EC;C1
Guilherme Motoyama;610.514.267;16;MA;C2
Ernesto Bruni;931.853.999;18;ML;A1
Maura Palma Acceturi;613.916.768-Z;17;MC;C1
Ricardo Santini Marini Bergamasco da Silva;466.927.213-Z;16;MC;C2
Graca Harrison;695.591.769;16;NN;C1
Renato Bergamo;10.456.868;16;FL;C1
Olivio Segall Yakoub Pereira Liberatori;219.357.462-B;19;MC;B1
Gladys Salazar;674.374.178;18;CC;B1
Renato Matsui Simoes;73.764.767-Y;19;EA;C2
Maria Cristina di Giorgio Silverio;885.694.190;20;NA;B1
Lana Felix;93.191.350;18;FB;A2
Josefina Bertoni;667.189.220-Z;17;FB;C1
Pedro Berger;726.825.459;15;HS;B1
Maria Cecilia Fujimori Lacerda;642.778.588-B;20;NN;A2
Lara Liberatori Wander;83.456.932-X;15;MA;C2
Aline Girardi Figueiredo;558.507.708-B;15;HS;C1
Danilo Fonseca;163.206.894-Y;18;EQ;B1
Jose Roberto Romano;26.640.323;15;EQ;B1
Jose Roberto Penna Rupini Archangelo;477.846.438-X;17;EC;C2
Alexandre Boldrini;961.996.699;20;NN;B2
Vera Lucia Tartini Motoyama Goncalvez;420.410.175;16;HL;B2
Mauricio Modenesi;153.315.444;19;FB;B2
Vinicius Maia;162.791.370;17;EA;C2
Daniela Portinari Mangini Leite;130.327.256-A;18;SL;A1
Nestor Palma;825.195.668;15;NN;B1
Edson Rupp;439.250.750-C;18;NN;B1
Ramon Bruni Vicentini Modenesi;613.552.133;20;EC;A1
Maria Cecilia Goldstein Juliani;500.388.979-Y;19;NA;B2
Cristian Santini;176.812.566-Y;20;EE;A1
Victor Geraldo;623.110.365;16;SL;A2
Marcia Santos Abravanel;355.584.265;16;FL;C2
Juliano Donato Pinto;578.935.284-A;16;EA;A2
Cecilia Rocha Magalhaes;89.104.536;17;AR;B1
Maura Boldrini Penna;505.642.180-A;19;EQ;C2
Evandro Corsini;52.405.157;20;AR;A2
Osvaldo Ferraz Macedo;973.632.546-A;16;EE;C2
Mateus Cascudo Nunes;853.389.670;18;ML;C1
Livia Cabral;779.839.499-C;20;MA;A1
Ramona Coutinho;289.694.340-B;20;MC;B1
Vanda Ramirez do Monte;710.302.277;19;ML;C2
Alice Maria Magalhaes Figueiredo Auerbach;210.407.120-Y;18;FL;A2
Guilhermina Salazar van der Graaf Simoes Caetano;883.343.429;15;MB;A2
Vanda Agostinho;739.191.135;18;MA;A2
Angelo Bertoncini;964.126.602;19;EM;A2
Samuel Felix Fleury di Giorgio;501.866.291-C;18;EC;B1
Livia Guedes Figueiredo;845.616.177-Z;15;NH;B2
Eulalia Mendonca Bretzel Nunes;703.783.552-A;18;MB;B2
Vanda Modenesi Antonioni;630.282.474-Y;17;MC;B1
Maria Leticia Burrel;432.796.447-C;19;NN;C2
Michel Mamede;243.603.270-Y;16;EA;B2
Maria Cristina Fleury dos Reis Candido Silva;159.447.927-C;18;HS;B2
Bruna dos Afonsos Simon Santana;784.200.105-X;20;EQ;A1
Antonio Candido Henriques;545.886.411;17;NL;B2
Joao Marcos dos Santos;704.421.243;17;MB;C1
Mayanna Rocha;531.372.131-A;15;FB;C1
Jose Roberto Borghetti Vicentini Pinheiro Felix;498.263.230;18;EM;C2
Ana Renata Junqueira;345.875.469;20;EC;A1
Davi Silva Pinto Nogueira;400.668.445-Z;19;SL;C2
Olivia Harrison;873.206.149;16;CC;C2
Joao Marcos dos Afonsos;812.450.725-Z;16;NA;B2
Jose Renato Geraldo;963.365.370-Z;20;CC;B1
Nestor Dias;714.756.931-X;15;AC;A1
Renata Takamoto Vicentini Kubota Romano;650.242.633;18;FB;C1
Lorella Aquino;656.118.654-A;19;EC;B2
Nestor Palma Romano de Andrade;356.745.115;17;AC;C1
Tina Boldrini Antonioni;222.281.883;19;SL;B2
Adalberto Salazar Romano;160.533.630;16;FL;C1
Geraldo Silva Marchetti;917.973.506-Z;16;MC;B1
Luiz Antonio de Abreu Geraldo;728.747.148-C;17;HS;C2
Ramona Geraldo;0.594.100-C;15;NA;C1
Divina Bergamasco Levi dos Santos Pereira;306.729.147;19;HS;C1
Lucas Pini Tucunduva;562.664.865;20;AR;B1
Marco Aurelio Marcondes;355.368.974-X;15;MA;B2
Heraldo Canal;802.379.268-C;16;EM;C2
Flavia Salazar Moreira;75.903.537;20;EC;A1
Silverio Portinari Jurgensen;839.248.420;17;FL;C2
Renato Giannini;99.860.624-C;19;AR;C1
Eulalia Madeira Boldrini;851.488.151;20;EQ;B1
Sergio Parente di Giorgio;78.250.439;20;CC;B2
Maicol Bartolini Carvalho;249.879.415-B;18;EA;B2
Juliano Rocha;540.294.288;20;SL;A2
Joao Marcos Mantovani;729.609.738-A;17;BE;A2
Luiz Antonio Rochester Santana Rocha;163.517.365-A;18;ML;C2
Vitorio Pedrosa;504.653.565-Y;18;NA;A2
Eulalia Bergamasco;923.783.869;16;NN;C2
Alice Rupp da Mata de Abreu Goldstein;85.632.196-B;19;NA;B2
Maicol Leite;849.291.155-B;19;AC;C2
Ana Renata Mussel;832.142.857-C;15;MC;B1
Lana Starkey;707.779.993;16;NL;A2
Andreia Leite;885.819.493;16;AR;B1
Tiago Geraldi;821.481.169;18;EE;B2
Joana Souza Candido;872.621.927-B;19;EA;C2
Carlota Candido;741.558.625;20;EC;A2
Jose Renato Penna Cunhado;51.129.699;18;HS;B1
Ernesto Jurgensen Cunhado;229.274.187;15;EA;C2
Heraldo Jurgensen Martins;57.546.157-A;17;NA;A1
Vanderson dos Afonsos Yamamoto;466.587.167-Y;18;HL;B2
Marco Delmiro Sampaio;41.761.551;15;EM;A2
Regina Starkey;648.509.440;16;SL;B2
Eulalia Fujimori;703.678.629-B;16;NH;B2
Aline Romano;470.667.723-A;20;EC;C2
Luiz Antonio Guedes;754.564.400-Y;20;AR;C2
Carla Soler;15.332.454-C;19;CC;A2
Maura Goldstein Marcondes;542.247.246;20;NH;A1
Romao Conti;339.568.318-X;16;AR;C1
Thiago Oliveira;746.969.996;16;EE;B2
Livia dos Afonsos;535.263.175-Y;18;NN;A1
Ivanildo Mantovani;992.479.299-B;17;MC;B2
Flavia Simon Borghetti Marcondes;848.842.750-C;17;FB;A1
Jose Roberto Cabral Macedo Rocha;635.649.265;19;NL;A1
Danilo dos Afonsos;944.127.507-X;20;NH;C2
Rosana Goncalvez Canal Rupp Melo;335.122.866-X;16;EA;A1
Willian Maia;887.113.372-Y;18;HS;B1
Ernesto Maia Henriques Auerbach;740.629.618;16;MB;B2
Samuel Pereira;35.488.127;18;FB;A2
Aloisio Oliveira Rocha;403.718.683;15;AR;C1
Romao Carboni Russeldorf;377.795.878-C;20;EA;C2
Thiago Fleury;356.138.917-B;20;EC;A2
Rodrigo van der Graaf;97.948.574;15;EE;C1
Thiago Henriques Agostinho;745.424.822-B;19;FL;C2
Marco dos Reis;235.380.526-X;18;BE;B2
Georgina Tachelli Guedes;875.664.129;19;NL;C2
Heraldo Palma;279.224.408-X;18;AC;C2
Vitoria Cadete Donato;419.123.835-X;16;EQ;B2
Ernesto Delmiro de Andrade;49.761.657;20;BE;A1
Aurelio dos Reis Abravanel Passarelli Ferracini;729.926.340-Y;20;EA;A1
Adoniram Pinheiro Nunes;392.215.902;19;EQ;C2
Tomas Vicentini;243.796.659-A;17;EA;A2
Bruna van der Graaf Berger;566.340.773;15;AR;A2
Lino Santos;128.837.132;20;NL;C2
Adalberto Mendonca;977.234.226-Z;18;CC;C1
Guilhermina Donato Liberatori Carmignani Simionato;297.678.495;17;EM;B2
Volnei Ramos;535.369.953-Z;18;AR;B2
Marta Burrel Pereira Tanaka;823.261.364-X;20;BE;A1
Aloisio Ferracini;918.638.812;15;MB;A2
Joana Luiza Ferraz;498.369.885;15;MB;B2
Rafaela Prates Motoyama Guedes;791.686.456;17;HL;C2
Luiz Watanabe Portinari Pedrosa;114.690.212-Y;16;MA;B2
Alda Corsini Tagliari Mangini Mussel;383.867.828-C;17;NN;C2
Maria Luiza Silva Pinto Apolinario;552.608.528-C;15;BE;C2
Jose Roberto Figueiredo;231.631.760-B;15;AR;A1
Marta Mussel;841.400.974-A;18;FL;B2
Jose Osvaldo Saboia;667.575.928;16;AR;B1
Jose Osvaldo Goncalves Parente Yamamoto Fleury;813.780.124-C;16;NH;C1
Nestor Goncalves Goldstein;640.223.921-A;20;BE;B2
Francisca Americano Maciel;528.843.954-A;20;SL;B1
Renato Segall Pereira Mussel;959.762.379;16;FB;B2
Valdivino Liberatori;347.622.173-Y;20;BE;B1
Alexandre Nunes Ramirez Matheny Pereira;584.529.838;17;MB;C2
Eulalia Candido Matsumoto Pereira Correa;295.563.372-B;17;CC;A1
Aline Moreira;675.319.889;20;EE;B1
Sinval Nunes Pinto von Zuben;927.849.954-Y;18;NA;B2
Osvaldo Burrel;174.517.411;18;SL;B1
Josefina Antonioni;104.291.489-A;15;AR;B2
Jaco Almeida;280.348.172-B;20;AC;A1
